2019-01-07 23:13:08,907, p3, s2, c3c200de-d3f4-47d3-80b6-10eb44ce9239, S2 completed
2019-01-07 23:13:08,907, p3, s0, 33e38841-dd29-4501-ba8e-05a162acca93, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 79dc5d8d-f605-4e99-b22e-510a148d0b17, S2 completed
2019-01-07 23:13:08,907, p3, s1, 33e38841-dd29-4501-ba8e-05a162acca93, S1 completed
2019-01-07 23:13:08,907, p3, s0, 71f9d820-6c0a-4ed0-ab2a-c6cdec25c1ff, S1 initiated
2019-01-07 23:13:08,907, p3, s1, 71f9d820-6c0a-4ed0-ab2a-c6cdec25c1ff, S1 completed
2019-01-07 23:13:08,907, p3, s0, 82d37209-6c00-4cf7-9ccb-054760a761b3, S1 initiated
2019-01-07 23:13:08,907, p3, s1, 82d37209-6c00-4cf7-9ccb-054760a761b3, S1 completed
2019-01-07 23:13:08,907, p3, s0, 87e17d70-292e-4e69-9fac-ca9a7def01d2, S1 initiated
2019-01-07 23:13:08,907, p3, s1, 87e17d70-292e-4e69-9fac-ca9a7def01d2, S1 completed
2019-01-07 23:13:08,907, p3, s0, 4c3033d9-f780-4ecb-817a-8e965f69e37a, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 381f8f70-e0c2-46d2-a41e-726c3ab90e39, S2 completed
2019-01-07 23:13:08,907, p3, s1, 4c3033d9-f780-4ecb-817a-8e965f69e37a, S1 completed
2019-01-07 23:13:08,907, p3, s0, b85db20e-8d09-41e2-81c4-546892fde7b2, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 87802102-ab2f-4d4c-9a6f-f0bc060339c4, S2 completed
2019-01-07 23:13:08,907, p3, s1, b85db20e-8d09-41e2-81c4-546892fde7b2, S1 completed
2019-01-07 23:13:08,907, p3, s2, 69b41db1-12cb-41cb-9312-1e6e5e422227, S2 completed
2019-01-07 23:13:08,907, p3, s0, 1bd41f37-4d08-4f67-875c-b7a2481da2f3, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 6d8e652d-09f4-43d8-afac-874df0455086, S2 completed
2019-01-07 23:13:08,907, p3, s1, 1bd41f37-4d08-4f67-875c-b7a2481da2f3, S1 completed
2019-01-07 23:13:08,907, p3, s2, 65ad1d04-8699-4545-a7a6-a442b9c57ae9, S2 completed
2019-01-07 23:13:08,907, p3, s0, fc0c72ff-b017-4ad5-a591-d26535ccb2f7, S1 initiated
2019-01-07 23:13:08,907, p3, s2, 93de09f7-2b79-494d-80fb-226678854fe0, S2 completed
2019-01-07 23:13:08,907, p3, s1, fc0c72ff-b017-4ad5-a591-d26535ccb2f7, S1 completed
2019-01-07 23:13:08,907, p3, s2, c782dc30-c851-4699-aac0-d683ce52f706, S2 completed
2019-01-07 23:13:08,907, p3, s0, cedeffed-6f85-4378-b4c8-448a9d10bf68, S1 initiated
2019-01-07 23:13:08,908, p3, s2, 43777c02-bb12-418e-b50e-c1d35e286df7, S2 completed
2019-01-07 23:13:08,908, p3, s1, cedeffed-6f85-4378-b4c8-448a9d10bf68, S1 completed
2019-01-07 23:13:08,908, p3, s2, cd795ec0-22b7-4326-9f27-0a8110dcec6b, S2 completed
2019-01-07 23:13:08,908, p3, s0, 47510b91-9dac-4256-a18e-d9e54d5e746a, S1 initiated
2019-01-07 23:13:08,908, p3, s2, 429eec26-6e3a-49af-a6cf-a15a319f393b, S2 completed
2019-01-07 23:13:08,908, p3, s1, 47510b91-9dac-4256-a18e-d9e54d5e746a, S1 completed
