2019-01-08 00:55:21,164, p4, s1, cce973eb-254e-4e11-8ca9-418bb2ee2209, S1 completed
2019-01-08 00:55:21,164, p4, s0, b37213de-ef18-4dc7-960e-2b977d24bcfb, S1 initiated
2019-01-08 00:55:21,164, p4, s1, b37213de-ef18-4dc7-960e-2b977d24bcfb, S1 completed
2019-01-08 00:55:21,164, p4, s0, fbf1b7cf-4fdd-45f0-9f09-15c8bac1cfb2, S1 initiated
2019-01-08 00:55:21,164, p4, s1, fbf1b7cf-4fdd-45f0-9f09-15c8bac1cfb2, S1 completed
2019-01-08 00:55:21,164, p4, s0, 933dfaaa-95c0-4219-a05a-5e7bb94934bd, S1 initiated
2019-01-08 00:55:21,164, p4, s1, 933dfaaa-95c0-4219-a05a-5e7bb94934bd, S1 completed
2019-01-08 00:55:21,164, p4, s0, b6301cfb-d3ba-43c0-925e-7784c6fe5182, S1 initiated
2019-01-08 00:55:21,165, p4, s1, b6301cfb-d3ba-43c0-925e-7784c6fe5182, S1 completed
2019-01-08 00:55:21,165, p4, s0, e77c81c8-1c71-4afd-b9d1-f49a23b7732c, S1 initiated
2019-01-08 00:55:21,165, p4, s1, e77c81c8-1c71-4afd-b9d1-f49a23b7732c, S1 completed
2019-01-08 00:55:21,165, p4, s0, 44e5b3bc-3ba0-4825-8a4b-fbca0c2c97e0, S1 initiated
2019-01-08 00:55:21,165, p4, s1, 44e5b3bc-3ba0-4825-8a4b-fbca0c2c97e0, S1 completed
2019-01-08 00:55:21,165, p4, s0, 0ee46de0-7e6a-46e8-9a80-5e5ce6c98a92, S1 initiated
2019-01-08 00:55:21,165, p4, s1, 0ee46de0-7e6a-46e8-9a80-5e5ce6c98a92, S1 completed
2019-01-08 00:55:21,165, p4, s0, a9bbb972-d726-4c9f-936c-0e89e4505662, S1 initiated
2019-01-08 00:55:21,165, p4, s1, a9bbb972-d726-4c9f-936c-0e89e4505662, S1 completed
2019-01-08 00:55:21,165, p4, s0, 347abbd0-2d28-451b-b155-1cc2cb5ef072, S1 initiated
2019-01-08 00:55:21,165, p4, s1, 347abbd0-2d28-451b-b155-1cc2cb5ef072, S1 completed
2019-01-08 00:55:21,165, p4, s0, 92058709-5b1a-45e8-875f-632a8d3a2286, S1 initiated
2019-01-08 00:55:21,165, p4, s1, 92058709-5b1a-45e8-875f-632a8d3a2286, S1 completed
2019-01-08 00:55:21,165, p4, s0, 1fb4c8ab-c27d-4582-ae61-36783c2dd3c1, S1 initiated
2019-01-08 00:55:21,165, p4, s1, 1fb4c8ab-c27d-4582-ae61-36783c2dd3c1, S1 completed
2019-01-08 00:55:21,165, p4, s0, ea2f67bb-2c93-4da2-81f7-339a6b3c11ce, S1 initiated
2019-01-08 00:55:21,165, p4, s1, ea2f67bb-2c93-4da2-81f7-339a6b3c11ce, S1 completed
2019-01-08 00:55:21,165, p4, s0, d77d5eb9-71fc-457b-82c4-b863c3cab430, S1 initiated
2019-01-08 00:55:21,165, p4, s1, d77d5eb9-71fc-457b-82c4-b863c3cab430, S1 completed
2019-01-08 00:55:21,165, p4, s0, c6360914-8e95-41d5-a14c-fff72d3868b7, S1 initiated
2019-01-08 00:55:21,166, p4, s1, c6360914-8e95-41d5-a14c-fff72d3868b7, S1 completed
